csv_token,figma_name,figma_id
affirm.color.input_text.input.icon.empty.disabled,color/input_text/input/icon/empty/disabled,VariableID:19161:4613
affirm.color.input_text.input.icon.error_empty.resting,color/input_text/input/icon/error_empty/resting,VariableID:19161:4621
affirm.color.input_text.input.icon.error_empty.hover,color/input_text/input/icon/error_empty/hover,VariableID:19161:4622
affirm.color.input_text.input.icon.error_empty.focus,color/input_text/input/icon/error_empty/focus,VariableID:19161:4623
affirm.color.input_text.input.icon.error_empty.focus_visible,color/input_text/input/icon/error_empty/focus_visible,VariableID:19161:4624
affirm.color.input_text.input.icon.error_empty.pressed,color/input_text/input/icon/error_empty/pressed,VariableID:19161:4625
affirm.color.input_text.input.icon.filled.resting,color/input_text/input/icon/filled/resting,VariableID:15372:5936
affirm.color.input_text.input.icon.filled.hover,color/input_text/input/icon/filled/hover,VariableID:19161:4618
affirm.color.input_text.input.icon.filled.focus,color/input_text/input/icon/filled/focus,VariableID:15372:5938
affirm.color.input_text.input.icon.filled.focus_visible,color/input_text/input/icon/filled/focus_visible,VariableID:19161:4619
affirm.color.input_text.input.icon.filled.pressed,color/input_text/input/icon/filled/pressed,VariableID:19161:4620
affirm.color.input_text.input.icon.filled.disabled,color/input_text/input/icon/filled/disabled,VariableID:15372:5939
affirm.color.input_text.input.icon.error_filled.resting,color/input_text/input/icon/error_filled/resting,VariableID:15372:5937
affirm.color.input_text.input.icon.error_filled.hover,color/input_text/input/icon/error_filled/hover,VariableID:19161:4626
affirm.color.input_text.input.icon.error_filled.focus,color/input_text/input/icon/error_filled/focus,VariableID:19161:4627
affirm.color.input_text.input.icon.error_filled.focus_visible,color/input_text/input/icon/error_filled/focus_visible,VariableID:19161:4628
affirm.color.input_text.input.icon.error_filled.pressed,color/input_text/input/icon/error_filled/pressed,VariableID:19161:4629
affirm.color.input_text.input.label.text.empty.resting,color/input_text/input/label/text/empty/resting,VariableID:15372:5921
affirm.color.input_text.input.label.text.empty.hover,color/input_text/input/label/text/empty/hover,VariableID:19161:4630
affirm.color.input_text.input.label.text.empty.focus,color/input_text/input/label/text/empty/focus,VariableID:19161:4631
affirm.color.input_text.input.label.text.empty.focus_visible,color/input_text/input/label/text/empty/focus_visible,VariableID:19161:4632
affirm.color.input_text.input.label.text.empty.pressed,color/input_text/input/label/text/empty/pressed,VariableID:19161:4633
affirm.color.input_text.input.label.text.empty.disabled,color/input_text/input/label/text/empty/disabled,VariableID:19161:4634
affirm.color.input_text.input.label.text.error_empty.resting,color/input_text/input/label/text/error_empty/resting,VariableID:19161:4650
affirm.color.input_text.input.label.text.error_empty.hover,color/input_text/input/label/text/error_empty/hover,VariableID:19161:4651
affirm.color.input_text.input.label.text.error_empty.focus,color/input_text/input/label/text/error_empty/focus,VariableID:19161:4653
affirm.color.input_text.input.label.text.error_empty.focus_visible,color/input_text/input/label/text/error_empty/focus_visible,VariableID:19161:4652
affirm.color.input_text.input.label.text.error_empty.pressed,color/input_text/input/label/text/error_empty/pressed,VariableID:19161:4654
affirm.color.input_text.input.label.text.filled.resting,color/input_text/input/label/text/filled/resting,VariableID:15372:5922
affirm.color.input_text.input.label.text.filled.hover,color/input_text/input/label/text/filled/hover,VariableID:19161:4643
affirm.color.input_text.input.label.text.filled.focus,color/input_text/input/label/text/filled/focus,VariableID:15372:5924
affirm.color.input_text.input.label.text.filled.focus_visible,color/input_text/input/label/text/filled/focus_visible,VariableID:19161:4644
affirm.color.input_text.input.label.text.filled.pressed,color/input_text/input/label/text/filled/pressed,VariableID:19161:4645
affirm.color.input_text.input.label.text.filled.disabled,color/input_text/input/label/text/filled/disabled,VariableID:15372:5925
affirm.color.input_text.input.label.text.error_filled.resting,color/input_text/input/label/text/error_filled/resting,VariableID:15372:5923
affirm.color.input_text.input.label.text.error_filled.hover,color/input_text/input/label/text/error_filled/hover,VariableID:19161:4646
affirm.color.input_text.input.label.text.error_filled.focus,color/input_text/input/label/text/error_filled/focus,VariableID:19161:4648
affirm.color.input_text.input.label.text.error_filled.focus_visible,color/input_text/input/label/text/error_filled/focus_visible,VariableID:19161:4647
affirm.color.input_text.input.label.text.error_filled.pressed,color/input_text/input/label/text/error_filled/pressed,VariableID:19161:4649
affirm.color.input_text.input.value.text.filled.resting,color/input_text/input/value/text/filled/resting,VariableID:15372:5927
affirm.color.input_text.input.value.text.filled.hover,color/input_text/input/value/text/filled/hover,VariableID:19161:4656
affirm.color.input_text.input.value.text.filled.focus,color/input_text/input/value/text/filled/focus,VariableID:15372:5929
affirm.color.input_text.input.value.text.filled.focus_visible,color/input_text/input/value/text/filled/focus_visible,VariableID:19161:4657
affirm.color.input_text.input.value.text.filled.pressed,color/input_text/input/value/text/filled/pressed,VariableID:19161:4658
affirm.color.input_text.input.value.text.filled.disabled,color/input_text/input/value/text/filled/disabled,VariableID:15372:5930
affirm.color.input_text.input.value.text.error_filled.resting,color/input_text/input/value/text/error_filled/resting,VariableID:15372:5928
affirm.color.input_text.input.value.text.error_filled.hover,color/input_text/input/value/text/error_filled/hover,VariableID:19161:4659
affirm.color.input_text.input.value.text.error_filled.focus,color/input_text/input/value/text/error_filled/focus,VariableID:19161:4660
affirm.color.input_text.input.value.text.error_filled.focus_visible,color/input_text/input/value/text/error_filled/focus_visible,VariableID:19161:4661
affirm.color.input_text.input.value.text.error_filled.pressed,color/input_text/input/value/text/error_filled/pressed,VariableID:19161:4662
affirm.color.input_text.message.text.resting,color/input_text/message/text/resting,VariableID:15372:5931
affirm.color.input_text.message.text.focus,color/input_text/message/text/focus,VariableID:15372:5932
affirm.color.input_text.message.text.disabled,color/input_text/message/text/disabled,VariableID:15372:5933
affirm.color.input_text.message.text.hover,color/input_text/message/text/hover,VariableID:19161:4663
affirm.color.input_text.message.text.focus_visible,color/input_text/message/text/focus_visible,VariableID:19161:4664
affirm.color.input_text.message.text.pressed,color/input_text/message/text/pressed,VariableID:19161:4665
affirm.color.input_text.error_message.text.resting,,
affirm.color.input_text.error_message.text.hover,,
affirm.color.input_text.error_message.text.focus,,
affirm.color.input_text.error_message.text.focus_visible,,
affirm.color.input_text.error_message.text.pressed,,
affirm.radius.input_text.input.all,,
affirm.size.input_text.input.icon.all,size/input_text/input/icon/all,VariableID:6186:15271
affirm.size.input_text.input.min_height,size/input_text/input/min_height,VariableID:6186:15272
affirm.size.input_text.input.border.width,size/input_text/input/border/width,VariableID:7630:4649
affirm.size.input_text.input.outline.width,size/input_text/input/outline/width,VariableID:19161:4670
affirm.spacing.input_text.gap_y,,
affirm.spacing.input_text.input.gap_x,,
affirm.spacing.input_text.input.label_value.gap_y,,
affirm.spacing.input_text.input.padding_x,,
affirm.spacing.input_text.input.padding_y.empty,,
affirm.spacing.input_text.input.padding_y.filled,,
affirm.spacing.input_text.input.outline.offset,,
