namespace,foundation,component,variant (opt),size_variant (opt),context (opt),polarity (opt),persistence (opt),part (opt),part_variant (opt),subpart (opt),property,state (opt),interaction (opt),,All Modes,Light Mode,Dark Mode,,Full Token
affirm,color,badge,brand_featured,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_featured.static.border
affirm,color,badge,brand_featured,,,,static,,,,icon,,,,,indigo.100,indigo.100,,affirm.color.badge.brand_featured.static.icon
affirm,color,badge,brand_featured,,,,static,,,,text,,,,,indigo.100,indigo.100,,affirm.color.badge.brand_featured.static.text
affirm,color,badge,brand_primary,,,,static,,,,bg,,,,,indigo.100,indigo.100,,affirm.color.badge.brand_primary.static.bg
affirm,color,badge,brand_primary,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_primary.static.border
affirm,color,badge,brand_primary,,,,static,,,,icon,,,,,indigo.600,indigo.600,,affirm.color.badge.brand_primary.static.icon
affirm,color,badge,brand_primary,,,,static,,,,text,,,,,indigo.600,indigo.600,,affirm.color.badge.brand_primary.static.text
affirm,color,badge,brand_secondary,,,,static,,,,bg,,,,,spruce.100,spruce.100,,affirm.color.badge.brand_secondary.static.bg
affirm,color,badge,brand_secondary,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_secondary.static.border
affirm,color,badge,brand_secondary,,,,static,,,,icon,,,,,spruce.600,spruce.600,,affirm.color.badge.brand_secondary.static.icon
affirm,color,badge,brand_secondary,,,,static,,,,text,,,,,spruce.600,spruce.600,,affirm.color.badge.brand_secondary.static.text
affirm,color,badge,brand_tertiary,,,,static,,,,bg,,,,,duskfall.100,duskfall.100,,affirm.color.badge.brand_tertiary.static.bg
affirm,color,badge,brand_tertiary,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_tertiary.static.border
affirm,color,badge,brand_tertiary,,,,static,,,,icon,,,,,duskfall.600,duskfall.600,,affirm.color.badge.brand_tertiary.static.icon
affirm,color,badge,brand_tertiary,,,,static,,,,text,,,,,duskfall.600,duskfall.600,,affirm.color.badge.brand_tertiary.static.text
affirm,color,badge,warning,,,,static,,,,bg,,,,,yellow.100,yellow.100,,affirm.color.badge.warning.static.bg
affirm,color,badge,warning,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.warning.static.border
affirm,color,badge,warning,,,,static,,,,icon,,,,,yellow.600,yellow.600,,affirm.color.badge.warning.static.icon
affirm,color,badge,warning,,,,static,,,,text,,,,,yellow.600,yellow.600,,affirm.color.badge.warning.static.text
affirm,color,badge,success,,,,static,,,,bg,,,,,green.100,green.100,,affirm.color.badge.success.static.bg
affirm,color,badge,success,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.success.static.border
affirm,color,badge,success,,,,static,,,,icon,,,,,green.600,green.600,,affirm.color.badge.success.static.icon
affirm,color,badge,success,,,,static,,,,text,,,,,green.600,green.600,,affirm.color.badge.success.static.text
affirm,color,badge,error,,,,static,,,,bg,,,,,red.100,red.100,,affirm.color.badge.error.static.bg
affirm,color,badge,error,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.error.static.border
affirm,color,badge,error,,,,static,,,,icon,,,,,red.600,red.600,,affirm.color.badge.error.static.icon
affirm,color,badge,error,,,,static,,,,text,,,,,red.600,red.600,,affirm.color.badge.error.static.text
affirm,color,badge,info,,,,static,,,,bg,,,,,blue.100,blue.100,,affirm.color.badge.info.static.bg
affirm,color,badge,info,,,,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.info.static.border
affirm,color,badge,info,,,,static,,,,icon,,,,,blue.600,blue.600,,affirm.color.badge.info.static.icon
affirm,color,badge,info,,,,static,,,,text,,,,,blue.600,blue.600,,affirm.color.badge.info.static.text
affirm,color,badge,default,,,inverse,,,,,bg,,,,,gray.600,gray.100,,affirm.color.badge.default.inverse.bg
affirm,color,badge,default,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.default.inverse.border
affirm,color,badge,default,,,inverse,,,,,icon,,,,,gray.100,gray.600,,affirm.color.badge.default.inverse.icon
affirm,color,badge,default,,,inverse,,,,,text,,,,,gray.100,gray.600,,affirm.color.badge.default.inverse.text
affirm,color,badge,brand_featured,,,inverse,,,,,bg,,,,,indigo.100,indigo.800,,affirm.color.badge.brand_featured.inverse.bg
affirm,color,badge,brand_featured,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_featured.inverse.border
affirm,color,badge,brand_featured,,,inverse,,,,,icon,,,,,indigo.800,indigo.100,,affirm.color.badge.brand_featured.inverse.icon
affirm,color,badge,brand_featured,,,inverse,,,,,text,,,,,indigo.800,indigo.100,,affirm.color.badge.brand_featured.inverse.text
affirm,color,badge,brand_primary,,,inverse,,,,,bg,,,,,indigo.600,indigo.100,,affirm.color.badge.brand_primary.inverse.bg
affirm,color,badge,brand_primary,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_primary.inverse.border
affirm,color,badge,brand_primary,,,inverse,,,,,icon,,,,,indigo.100,indigo.600,,affirm.color.badge.brand_primary.inverse.icon
affirm,color,badge,brand_primary,,,inverse,,,,,text,,,,,indigo.100,indigo.600,,affirm.color.badge.brand_primary.inverse.text
affirm,color,badge,brand_secondary,,,inverse,,,,,bg,,,,,spruce.600,spruce.100,,affirm.color.badge.brand_secondary.inverse.bg
affirm,color,badge,brand_secondary,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_secondary.inverse.border
affirm,color,badge,brand_secondary,,,inverse,,,,,icon,,,,,spruce.100,spruce.600,,affirm.color.badge.brand_secondary.inverse.icon
affirm,color,badge,brand_secondary,,,inverse,,,,,text,,,,,spruce.100,spruce.600,,affirm.color.badge.brand_secondary.inverse.text
affirm,color,badge,brand_tertiary,,,inverse,,,,,bg,,,,,duskfall.600,duskfall.100,,affirm.color.badge.brand_tertiary.inverse.bg
affirm,color,badge,brand_tertiary,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_tertiary.inverse.border
affirm,color,badge,brand_tertiary,,,inverse,,,,,icon,,,,,duskfall.100,duskfall.600,,affirm.color.badge.brand_tertiary.inverse.icon
affirm,color,badge,brand_tertiary,,,inverse,,,,,text,,,,,duskfall.100,duskfall.600,,affirm.color.badge.brand_tertiary.inverse.text
affirm,color,badge,warning,,,inverse,,,,,bg,,,,,yellow.600,yellow.100,,affirm.color.badge.warning.inverse.bg
affirm,color,badge,warning,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.warning.inverse.border
affirm,color,badge,warning,,,inverse,,,,,icon,,,,,yellow.100,yellow.600,,affirm.color.badge.warning.inverse.icon
affirm,color,badge,warning,,,inverse,,,,,text,,,,,yellow.100,yellow.600,,affirm.color.badge.warning.inverse.text
affirm,color,badge,success,,,inverse,,,,,bg,,,,,green.600,green.100,,affirm.color.badge.success.inverse.bg
affirm,color,badge,success,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.success.inverse.border
affirm,color,badge,success,,,inverse,,,,,icon,,,,,green.100,green.600,,affirm.color.badge.success.inverse.icon
affirm,color,badge,success,,,inverse,,,,,text,,,,,green.100,green.600,,affirm.color.badge.success.inverse.text
affirm,color,badge,error,,,inverse,,,,,bg,,,,,red.600,red.100,,affirm.color.badge.error.inverse.bg
affirm,color,badge,error,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.error.inverse.border
affirm,color,badge,error,,,inverse,,,,,icon,,,,,red.100,red.600,,affirm.color.badge.error.inverse.icon
affirm,color,badge,error,,,inverse,,,,,text,,,,,red.100,red.600,,affirm.color.badge.error.inverse.text
affirm,color,badge,info,,,inverse,,,,,bg,,,,,blue.600,blue.100,,affirm.color.badge.info.inverse.bg
affirm,color,badge,info,,,inverse,,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.info.inverse.border
affirm,color,badge,info,,,inverse,,,,,icon,,,,,blue.100,blue.600,,affirm.color.badge.info.inverse.icon
affirm,color,badge,info,,,inverse,,,,,text,,,,,blue.100,blue.600,,affirm.color.badge.info.inverse.text
affirm,color,badge,default,,,inverse,static,,,,bg,,,,,gray.600,gray.600,,affirm.color.badge.default.inverse.static.bg
affirm,color,badge,default,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.default.inverse.static.border
affirm,color,badge,default,,,inverse,static,,,,icon,,,,,gray.100,gray.100,,affirm.color.badge.default.inverse.static.icon
affirm,color,badge,default,,,inverse,static,,,,text,,,,,gray.100,gray.100,,affirm.color.badge.default.inverse.static.text
affirm,color,badge,brand_featured,,,inverse,static,,,,bg,,,,,indigo.100,indigo.100,,affirm.color.badge.brand_featured.inverse.static.bg
affirm,color,badge,brand_featured,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_featured.inverse.static.border
affirm,color,badge,brand_featured,,,inverse,static,,,,icon,,,,,indigo.800,indigo.800,,affirm.color.badge.brand_featured.inverse.static.icon
affirm,color,badge,brand_featured,,,inverse,static,,,,text,,,,,indigo.800,indigo.800,,affirm.color.badge.brand_featured.inverse.static.text
affirm,color,badge,brand_primary,,,inverse,static,,,,bg,,,,,indigo.600,indigo.600,,affirm.color.badge.brand_primary.inverse.static.bg
affirm,color,badge,brand_primary,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_primary.inverse.static.border
affirm,color,badge,brand_primary,,,inverse,static,,,,icon,,,,,indigo.100,indigo.100,,affirm.color.badge.brand_primary.inverse.static.icon
affirm,color,badge,brand_primary,,,inverse,static,,,,text,,,,,indigo.100,indigo.100,,affirm.color.badge.brand_primary.inverse.static.text
affirm,color,badge,brand_secondary,,,inverse,static,,,,bg,,,,,spruce.600,spruce.600,,affirm.color.badge.brand_secondary.inverse.static.bg
affirm,color,badge,brand_secondary,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_secondary.inverse.static.border
affirm,color,badge,brand_secondary,,,inverse,static,,,,icon,,,,,spruce.100,spruce.100,,affirm.color.badge.brand_secondary.inverse.static.icon
affirm,color,badge,brand_secondary,,,inverse,static,,,,text,,,,,spruce.100,spruce.100,,affirm.color.badge.brand_secondary.inverse.static.text
affirm,color,badge,brand_tertiary,,,inverse,static,,,,bg,,,,,duskfall.600,duskfall.600,,affirm.color.badge.brand_tertiary.inverse.static.bg
affirm,color,badge,brand_tertiary,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.brand_tertiary.inverse.static.border
affirm,color,badge,brand_tertiary,,,inverse,static,,,,icon,,,,,duskfall.100,duskfall.100,,affirm.color.badge.brand_tertiary.inverse.static.icon
affirm,color,badge,brand_tertiary,,,inverse,static,,,,text,,,,,duskfall.100,duskfall.100,,affirm.color.badge.brand_tertiary.inverse.static.text
affirm,color,badge,warning,,,inverse,static,,,,bg,,,,,yellow.600,yellow.600,,affirm.color.badge.warning.inverse.static.bg
affirm,color,badge,warning,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.warning.inverse.static.border
affirm,color,badge,warning,,,inverse,static,,,,icon,,,,,yellow.100,yellow.100,,affirm.color.badge.warning.inverse.static.icon
affirm,color,badge,warning,,,inverse,static,,,,text,,,,,yellow.100,yellow.100,,affirm.color.badge.warning.inverse.static.text
affirm,color,badge,success,,,inverse,static,,,,bg,,,,,green.600,green.600,,affirm.color.badge.success.inverse.static.bg
affirm,color,badge,success,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.success.inverse.static.border
affirm,color,badge,success,,,inverse,static,,,,icon,,,,,green.100,green.100,,affirm.color.badge.success.inverse.static.icon
affirm,color,badge,success,,,inverse,static,,,,text,,,,,green.100,green.100,,affirm.color.badge.success.inverse.static.text
affirm,color,badge,error,,,inverse,static,,,,bg,,,,,red.600,red.600,,affirm.color.badge.error.inverse.static.bg
affirm,color,badge,error,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.error.inverse.static.border
affirm,color,badge,error,,,inverse,static,,,,icon,,,,,red.100,red.100,,affirm.color.badge.error.inverse.static.icon
affirm,color,badge,error,,,inverse,static,,,,text,,,,,red.100,red.100,,affirm.color.badge.error.inverse.static.text
affirm,color,badge,info,,,inverse,static,,,,bg,,,,,blue.600,blue.600,,affirm.color.badge.info.inverse.static.bg
affirm,color,badge,info,,,inverse,static,,,,border,,,,,opacity.transparent,opacity.transparent,,affirm.color.badge.info.inverse.static.border
affirm,color,badge,info,,,inverse,static,,,,icon,,,,,blue.100,blue.100,,affirm.color.badge.info.inverse.static.icon
affirm,color,badge,info,,,inverse,static,,,,text,,,,,blue.100,blue.100,,affirm.color.badge.info.inverse.static.text
affirm,radius,badge,,medium,,,,,,,all,,,,size.150,,,,affirm.radius.badge.medium.all
affirm,radius,badge,,small,,,,,,,all,,,,size.150,,,,affirm.radius.badge.small.all
affirm,radius,badge,,large,,,,,,,all,,,,size.175,,,,affirm.radius.badge.large.all
affirm,size,badge,,,,,,border,,,width,,,,size.000,,,,affirm.size.badge.border.width
affirm,size,badge,,medium,,,,icon,,,all,,,,size.200,,,,affirm.size.badge.medium.icon.all
affirm,size,badge,,small,,,,icon,,,all,,,,size.175,,,,affirm.size.badge.small.icon.all
affirm,size,badge,,large,,,,icon,,,all,,,,size.225,,,,affirm.size.badge.large.icon.all
affirm,spacing,badge,,medium,,,,,,,gap_x,,,,size.075,,,,affirm.spacing.badge.medium.gap_x
affirm,spacing,badge,,medium,,,,,,,padding_top,,,,size.025,,,,affirm.spacing.badge.medium.padding_top
affirm,spacing,badge,,medium,,,,,,,padding_left,,,,size.125,,,,affirm.spacing.badge.medium.padding_left
affirm,spacing,badge,,medium,,,,,,,padding_bottom,,,,size.025,,,,affirm.spacing.badge.medium.padding_bottom
affirm,spacing,badge,,medium,,,,,,,padding_right,,,,size.125,,,,affirm.spacing.badge.medium.padding_right
affirm,spacing,badge,,small,,,,,,,gap_x,,,,size.050,,,,affirm.spacing.badge.small.gap_x
affirm,spacing,badge,,small,,,,,,,padding_top,,,,size.013,,,,affirm.spacing.badge.small.padding_top
affirm,spacing,badge,,small,,,,,,,padding_left,,,,size.100,,,,affirm.spacing.badge.small.padding_left
affirm,spacing,badge,,small,,,,,,,padding_bottom,,,,size.013,,,,affirm.spacing.badge.small.padding_bottom
affirm,spacing,badge,,small,,,,,,,padding_right,,,,size.100,,,,affirm.spacing.badge.small.padding_right
affirm,spacing,badge,,large,,,,,,,gap_x,,,,size.075,,,,affirm.spacing.badge.large.gap_x
affirm,spacing,badge,,large,,,,,,,padding_top,,,,size.025,,,,affirm.spacing.badge.large.padding_top
affirm,spacing,badge,,large,,,,,,,padding_left,,,,size.150,,,,affirm.spacing.badge.large.padding_left
affirm,spacing,badge,,large,,,,,,,padding_bottom,,,,size.025,,,,affirm.spacing.badge.large.padding_bottom
affirm,spacing,badge,,large,,,,,,,padding_right,,,,size.150,,,,affirm.spacing.badge.large.padding_right
