Full Token,All Modes,Light Mode,Dark Mode
affirm.color.input_text.input.cursor.fill.error_empty.focus,,red.650,red.650
affirm.color.input_text.input.cursor.fill.error_filled.focus,,red.650,red.650
affirm.color.input_text.input.icon.empty.resting,,gray.700,gray.300
affirm.color.input_text.input.icon.empty.hover,,gray.700,gray.300
affirm.color.input_text.input.icon.empty.focus,,indigo.950,indigo.300
affirm.color.input_text.input.icon.empty.focus_visible,,gray.700,gray.300
affirm.color.input_text.input.icon.empty.pressed,,gray.700,gray.300
affirm.color.input_text.input.icon.empty.disabled,,gray.400,gray.600
affirm.color.input_text.input.icon.error_empty.resting,,red.850,red.300
affirm.color.input_text.input.icon.error_empty.hover,,red.850,red.300
affirm.color.input_text.input.icon.error_empty.focus,,red.850,red.300
affirm.color.input_text.input.icon.error_empty.focus_visible,,red.850,red.300
affirm.color.input_text.input.icon.error_empty.pressed,,red.850,red.300
affirm.color.input_text.input.icon.filled.resting,,gray.970,gray.030
affirm.color.input_text.input.icon.filled.hover,,gray.970,gray.030
affirm.color.input_text.input.icon.filled.focus,,indigo.950,indigo.300
affirm.color.input_text.input.icon.filled.focus_visible,,gray.970,gray.030
affirm.color.input_text.input.icon.filled.pressed,,gray.970,gray.030
affirm.color.input_text.input.icon.filled.disabled,,gray.400,gray.600
affirm.color.input_text.input.icon.error_filled.resting,,red.850,red.300
affirm.color.input_text.input.icon.error_filled.hover,,red.850,red.300
affirm.color.input_text.input.icon.error_filled.focus,,red.850,red.300
affirm.color.input_text.input.icon.error_filled.focus_visible,,red.850,red.300
affirm.color.input_text.input.icon.error_filled.pressed,,red.850,red.300
affirm.color.input_text.input.label.text.empty.resting,,gray.700,gray.300
affirm.color.input_text.input.label.text.empty.hover,,gray.700,gray.300
affirm.color.input_text.input.label.text.empty.focus,,indigo.970,indigo.300
affirm.color.input_text.input.label.text.empty.focus_visible,,gray.700,gray.300
affirm.color.input_text.input.label.text.empty.pressed,,gray.700,gray.300
affirm.color.input_text.input.label.text.empty.disabled,,gray.400,gray.600
affirm.color.input_text.input.label.text.error_empty.resting,,red.850,red.300
affirm.color.input_text.input.label.text.error_empty.hover,,red.850,red.300
affirm.color.input_text.input.label.text.error_empty.focus,,red.850,red.300
affirm.color.input_text.input.label.text.error_empty.focus_visible,,red.850,red.300
affirm.color.input_text.input.label.text.error_empty.pressed,,red.850,red.300
affirm.color.input_text.input.label.text.filled.resting,,gray.700,gray.300
affirm.color.input_text.input.label.text.filled.hover,,gray.700,gray.300
affirm.color.input_text.input.label.text.filled.focus,,indigo.970,indigo.300
affirm.color.input_text.input.label.text.filled.focus_visible,,gray.700,gray.300
affirm.color.input_text.input.label.text.filled.pressed,,gray.700,gray.300
affirm.color.input_text.input.label.text.filled.disabled,,gray.400,gray.600
affirm.color.input_text.input.label.text.error_filled.resting,,red.850,red.300
affirm.color.input_text.input.label.text.error_filled.hover,,red.850,red.300
affirm.color.input_text.input.label.text.error_filled.focus,,red.850,red.300
affirm.color.input_text.input.label.text.error_filled.focus_visible,,red.850,red.300
affirm.color.input_text.input.label.text.error_filled.pressed,,red.850,red.300
affirm.color.input_text.input.value.text.filled.resting,,gray.950,gray.030
affirm.color.input_text.input.value.text.filled.hover,,gray.950,gray.030
affirm.color.input_text.input.value.text.filled.focus,,gray.950,gray.030
affirm.color.input_text.input.value.text.filled.focus_visible,,gray.950,gray.030
affirm.color.input_text.input.value.text.filled.pressed,,gray.950,gray.030
affirm.color.input_text.input.value.text.filled.disabled,,gray.400,gray.600
affirm.color.input_text.input.value.text.error_filled.resting,,gray.950,gray.030
affirm.color.input_text.input.value.text.error_filled.hover,,gray.950,gray.030
affirm.color.input_text.input.value.text.error_filled.focus,,gray.950,gray.030
affirm.color.input_text.input.value.text.error_filled.focus_visible,,gray.950,gray.030
affirm.color.input_text.input.value.text.error_filled.pressed,,gray.950,gray.030
affirm.color.input_text.message.text.resting,,gray.700,gray.300
affirm.color.input_text.message.text.focus,,gray.700,gray.300
affirm.color.input_text.message.text.disabled,,gray.400,gray.600
affirm.color.input_text.message.text.hover,,gray.700,gray.300
affirm.color.input_text.message.text.focus_visible,,gray.700,gray.300
affirm.color.input_text.message.text.pressed,,gray.700,gray.300
affirm.color.input_text.error_message.text.resting,,red.850,red.300
affirm.color.input_text.error_message.text.hover,,red.850,red.300
affirm.color.input_text.error_message.text.focus,,red.850,red.300
affirm.color.input_text.error_message.text.focus_visible,,red.850,red.300
affirm.color.input_text.error_message.text.pressed,,red.850,red.300
affirm.radius.input_text.input.all,size.100,,
affirm.size.input_text.input.icon.all,size.300,,
affirm.size.input_text.input.min_height,size.700,,
affirm.size.input_text.input.border.width,size.013,,
affirm.size.input_text.input.outline.width,size.025,,
affirm.spacing.input_text.gap_y,size.100,,
affirm.spacing.input_text.input.gap_x,size.150,,
affirm.spacing.input_text.input.label_value.gap_y,size.025,,
affirm.spacing.input_text.input.padding_x,size.200,,
affirm.spacing.input_text.input.padding_y.empty,size.200,,
affirm.spacing.input_text.input.padding_y.filled,size.100,,
affirm.spacing.input_text.input.outline.offset,size.025,,
